'7T08BV08', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'7M554NVS', '0', '1', 'http://www.wikidata.org/prop/direct/P195', 26, 'http://www.wikidata.org/prop/direct/P276', 25, 'http://www.wikidata.org/prop/direct/P195', 26
'7M554NVS', '0', '2', 'http://www.wikidata.org/prop/direct/P186'
'7M554NVS', '0', '3', 'http://www.wikidata.org/prop/direct/P276', 26, 'http://www.wikidata.org/prop/direct/P276', 26, 'http://www.wikidata.org/prop/direct/P195', 21
'7M554NVS', '0', '4', 'http://www.wikidata.org/prop/direct/P180'
'2NKL5HXS', '0', '1', 'http://www.wikidata.org/prop/direct/P276', 2, 'http://www.wikidata.org/prop/direct/P276', 2, 'http://www.wikidata.org/prop/direct/P195', 2
'2NKL5HXS', '0', '2', 'http://www.wikidata.org/prop/direct/P186'
'2NKL5HXS', '0', '3', 'http://www.wikidata.org/prop/direct/P195', 63, 'http://www.wikidata.org/prop/direct/P276', 59, 'http://www.wikidata.org/prop/direct/P195', 63
'2NKL5HXS', '0', '4', 'http://www.wikidata.org/prop/direct/P180'
'XCSUIAMN', '0', '1', 'http://www.wikidata.org/prop/P2048'
'XCSUIAMN', '0', '2', 'http://www.wikidata.org/prop/direct/P136'
'XCSUIAMN', '0', '3', 'http://www.wikidata.org/prop/P571'
'XCSUIAMN', '0', '4', 'http://www.wikidata.org/prop/direct/P170'
'2LJ4MOOF', '0', '1', 'http://www.wikidata.org/prop/P2048'
'2LJ4MOOF', '0', '2', 'http://www.wikidata.org/prop/direct/P136'
'2LJ4MOOF', '0', '3', 'http://www.wikidata.org/prop/P571', 10, 'http://www.wikidata.org/prop/P571', 10, 'http://www.wikidata.org/prop/direct/P170', 1, 'http://www.wikidata.org/prop/direct/P2079', 1, 'http://www.wikidata.org/prop/direct/P144', 1
'2LJ4MOOF', '0', '4', 'http://www.wikidata.org/prop/direct/P170'
'68I3A467', '0', '1', 'http://www.wikidata.org/prop/P2048'
'68I3A467', '0', '2', 'http://www.wikidata.org/prop/direct/P136'
'68I3A467', '0', '3', 'http://www.wikidata.org/prop/P571'
'68I3A467', '0', '4', 'http://www.wikidata.org/prop/direct/P170'
'O0H2L033', '0', '1', 'http://www.wikidata.org/prop/P1476'
'O0H2L033', '0', '2', 'http://www.wikidata.org/prop/P2049'
'O0H2L033', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'O0H2L033', '0', '4', 'http://www.wikidata.org/prop/direct/P495'
'O0H2L033', '0', '5', 'http://www.wikidata.org/prop/direct/P6216'
'ZY6DKRW7', '0', '1', 'http://www.wikidata.org/prop/P1476'
'ZY6DKRW7', '0', '2', 'http://www.wikidata.org/prop/P2049'
'ZY6DKRW7', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'ZY6DKRW7', '0', '4', 'http://www.wikidata.org/prop/direct/P495'
'ZY6DKRW7', '0', '5', 'http://www.wikidata.org/prop/direct/P6216'
'CX6TK3VU', '0', '1', 'http://www.wikidata.org/prop/P2046'
'CX6TK3VU', '0', '2', 'http://www.wikidata.org/prop/direct/P47'
'CX6TK3VU', '0', '3', 'http://www.wikidata.org/prop/direct/P131'
'2E09GGGJ', '0', '1', 'http://www.wikidata.org/prop/P2046', 6, 'http://www.wikidata.org/prop/direct/P131', 1, 'http://www.wikidata.org/prop/P2046', 6
'2E09GGGJ', '0', '2', 'http://www.wikidata.org/prop/direct/P47'
'2E09GGGJ', '0', '3', 'http://www.wikidata.org/prop/direct/P131'
'CLFEU7FG', '0', '1', 'http://www.wikidata.org/prop/P2046'
'CLFEU7FG', '0', '2', 'http://www.wikidata.org/prop/direct/P47'
'CLFEU7FG', '0', '3', 'http://www.wikidata.org/prop/direct/P131'
'ZN232HTM', '0', '1', 'http://www.wikidata.org/prop/P2046'
'ZN232HTM', '0', '2', 'http://www.wikidata.org/prop/direct/P47'
'ZN232HTM', '0', '3', 'http://www.wikidata.org/prop/direct/P131'
'3A8YHJ63', '0', '1', 'http://www.wikidata.org/prop/P2046'
'3A8YHJ63', '0', '2', 'http://www.wikidata.org/prop/direct/P47'
'3A8YHJ63', '0', '3', 'http://www.wikidata.org/prop/direct/P131'
'1RYMXG00', '0', '1', 'http://www.wikidata.org/prop/P571', 4, 'http://www.wikidata.org/prop/P571', 4, 'http://www.wikidata.org/prop/direct/P131', 2
'1RYMXG00', '0', '2', 'http://www.wikidata.org/prop/direct/P421'
'1RYMXG00', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'CF6WNIJJ', '0', '1', 'http://www.wikidata.org/prop/P571'
'CF6WNIJJ', '0', '2', 'http://www.wikidata.org/prop/direct/P421'
'CF6WNIJJ', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'CA35MFRD', '0', '1', 'http://www.wikidata.org/prop/P571'
'CA35MFRD', '0', '2', 'http://www.wikidata.org/prop/direct/P421'
'CA35MFRD', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'3TR2NN33', '0', '1', 'http://www.wikidata.org/prop/P571', 9, 'http://www.wikidata.org/prop/P571', 9, 'http://www.wikidata.org/prop/direct/P1889', 1, 'http://www.wikidata.org/prop/direct/P131', 1
'3TR2NN33', '0', '2', 'http://www.wikidata.org/prop/direct/P421'
'3TR2NN33', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'PPA7TO4L', '0', '1', 'http://www.wikidata.org/prop/P571'
'PPA7TO4L', '0', '2', 'http://www.wikidata.org/prop/direct/P421'
'PPA7TO4L', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'9FW4CQRS', '0', '1', 'http://www.wikidata.org/prop/P1082'
'9FW4CQRS', '0', '2', 'http://www.wikidata.org/prop/P2044'
'9FW4CQRS', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'R7GD2DJV', '0', '1', 'http://www.wikidata.org/prop/P1082', 3, 'http://www.wikidata.org/prop/direct/P131', 1, 'http://www.wikidata.org/prop/P1082', 3
'R7GD2DJV', '0', '2', 'http://www.wikidata.org/prop/P2044', 3, 'http://www.wikidata.org/prop/P2044', 3, 'http://www.wikidata.org/prop/direct/P131', 1
'R7GD2DJV', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'JKXG3MJL', '0', '1', 'http://www.wikidata.org/prop/P1082'
'JKXG3MJL', '0', '2', 'http://www.wikidata.org/prop/P2044', 7, 'http://www.wikidata.org/prop/direct/P47', 1, 'http://www.wikidata.org/prop/P1082', 1, 'http://www.wikidata.org/prop/P2044', 7, 'http://www.wikidata.org/prop/direct/P131', 2
'JKXG3MJL', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'BWINYQLT', '0', '1', 'http://www.wikidata.org/prop/P1082', 11, 'http://www.wikidata.org/prop/P1082', 11, 'http://www.wikidata.org/prop/direct/P131', 3
'BWINYQLT', '0', '2', 'http://www.wikidata.org/prop/P2044', 11, 'http://www.wikidata.org/prop/direct/P47', 1, 'http://www.wikidata.org/prop/direct/P17', 5, 'http://www.wikidata.org/prop/P2044', 11, 'http://www.wikidata.org/prop/direct/P131', 3
'BWINYQLT', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'9HUC2X7A', '0', '1', 'http://www.wikidata.org/prop/P1082'
'9HUC2X7A', '0', '2', 'http://www.wikidata.org/prop/direct/P17', 4, 'http://www.wikidata.org/prop/direct/P17', 4, 'http://www.wikidata.org/prop/P2044', 4, 'http://www.wikidata.org/prop/direct/P131', 1
'9HUC2X7A', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'76PPJF5W', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'76PPJF5W', '0', '2', 'http://www.wikidata.org/prop/direct/P4794'
'76PPJF5W', '0', '3'
'76PPJF5W', '0', '4', 'http://www.wikidata.org/prop/P571', 5, 'http://www.wikidata.org/prop/P279', 4, 'http://www.wikidata.org/prop/P571', 5
'RCJBK4KK', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'RCJBK4KK', '0', '2', 'http://www.wikidata.org/prop/direct/P4794'
'RCJBK4KK', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'RCJBK4KK', '0', '4', 'http://www.wikidata.org/prop/P571', 8, 'http://www.wikidata.org/prop/direct/P527', 2, 'http://www.wikidata.org/prop/P279', 2, 'http://www.wikidata.org/prop/P571', 8
'EJQKL4OO', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'EJQKL4OO', '0', '2', 'http://www.wikidata.org/prop/direct/P4794'
'EJQKL4OO', '0', '3', 'http://www.wikidata.org/prop/direct/P279'
'EJQKL4OO', '0', '4', 'http://www.wikidata.org/prop/P571', 11, 'http://www.wikidata.org/prop/direct/P527', 4, 'http://www.wikidata.org/prop/P279', 5, 'http://www.wikidata.org/prop/P571', 11
'DWP2UUXB', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'DWP2UUXB', '0', '2', 'http://www.wikidata.org/prop/direct/P4794'
'DWP2UUXB', '0', '3', 'http://www.wikidata.org/prop/direct/P279'
'DWP2UUXB', '0', '4', 'http://www.wikidata.org/prop/P571', 3, 'http://www.wikidata.org/prop/direct/P527', 1, 'http://www.wikidata.org/prop/P571', 3
'N9CLX54O', '0', '1', 'http://www.wikidata.org/prop/direct/P641'
'N9CLX54O', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'N9CLX54O', '0', '3', 'http://www.wikidata.org/prop/direct/P2094'
'UXXVOEKK', '0', '1', 'http://www.wikidata.org/prop/direct/P641'
'UXXVOEKK', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'UXXVOEKK', '0', '3', 'http://www.wikidata.org/prop/direct/P2094'
'RV249GKO', '0', '1', 'http://www.wikidata.org/prop/direct/P641', 3, 'http://www.wikidata.org/prop/direct/P641', 3, 'http://www.wikidata.org/prop/direct/P361', 1
'RV249GKO', '0', '2', 'http://www.wikidata.org/prop/direct/P31', 8, 'http://www.wikidata.org/prop/direct/P31', 8, 'http://www.wikidata.org/prop/direct/P279', 1
'RV249GKO', '0', '3', 'http://www.wikidata.org/prop/direct/P2094'
'872YH4ZJ', '0', '1', 'http://www.wikidata.org/prop/direct/P641'
'872YH4ZJ', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'872YH4ZJ', '0', '3', 'http://www.wikidata.org/prop/direct/P2094'
'FCTQ71UE', '0', '1', 'http://www.wikidata.org/prop/direct/P641'
'FCTQ71UE', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'FCTQ71UE', '0', '3', 'http://www.wikidata.org/prop/direct/P2094'
'ZC2H0YOF', '0', '1', 'http://www.wikidata.org/prop/direct/P36'
'ZC2H0YOF', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'ZC2H0YOF', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'ZC2H0YOF', '0', '4', 'http://www.wikidata.org/prop/P1082', 11, 'http://www.wikidata.org/prop/P1082', 11, 'http://www.wikidata.org/prop/direct/P36', 4
'ZC2H0YOF', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'HE3WE31W', '0', '1', 'http://www.wikidata.org/prop/direct/P36'
'HE3WE31W', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'HE3WE31W', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'HE3WE31W', '0', '4', 'http://www.wikidata.org/prop/P1082', 3, 'http://www.wikidata.org/prop/P1082', 3, 'http://www.wikidata.org/prop/direct/P36', 2
'HE3WE31W', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'0YKSE1UW', '0', '1', 'http://www.wikidata.org/prop/direct/P36'
'0YKSE1UW', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'0YKSE1UW', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'0YKSE1UW', '0', '4', 'http://www.wikidata.org/prop/P1082', 3, 'http://www.wikidata.org/prop/P1082', 3, 'http://www.wikidata.org/prop/direct/P36', 1
'0YKSE1UW', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'LJMZON9N', '0', '1', 'http://www.wikidata.org/prop/direct/P36'
'LJMZON9N', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'LJMZON9N', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'LJMZON9N', '0', '4', 'http://www.wikidata.org/prop/P1082', 3, 'http://www.wikidata.org/prop/P1082', 3, 'http://www.wikidata.org/prop/direct/P36', 1
'LJMZON9N', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'VDCF0DUH', '0', '1', 'http://www.wikidata.org/prop/direct/P36'
'VDCF0DUH', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'VDCF0DUH', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'VDCF0DUH', '0', '4', 'http://www.wikidata.org/prop/P1082'
'VDCF0DUH', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'VQNEGQQ4', '0', '1', 'http://www.wikidata.org/prop/P1082'
'VQNEGQQ4', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'VQNEGQQ4', '0', '3', 'http://www.wikidata.org/prop/direct/P36'
'VQNEGQQ4', '0', '4', 'http://www.wikidata.org/prop/direct/P17'
'VQNEGQQ4', '0', '5', 'http://www.wikidata.org/prop/direct/P131'
'VQNEGQQ4', '0', '6', 'http://www.wikidata.org/prop/P2046'
'DA4V32ZL', '0', '1', 'http://www.wikidata.org/prop/P1082'
'DA4V32ZL', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'DA4V32ZL', '0', '3', 'http://www.wikidata.org/prop/direct/P36'
'DA4V32ZL', '0', '4', 'http://www.wikidata.org/prop/direct/P17'
'DA4V32ZL', '0', '5', 'http://www.wikidata.org/prop/direct/P131'
'DA4V32ZL', '0', '6', 'http://www.wikidata.org/prop/P2046'
'7K89AUPJ', '0', '1', 'http://www.wikidata.org/prop/P1082', 2, 'http://www.wikidata.org/prop/P1082', 2, 'http://www.wikidata.org/prop/direct/P131', 1, 'http://www.wikidata.org/prop/direct/P1376', 2
'7K89AUPJ', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'7K89AUPJ', '0', '3', 'http://www.wikidata.org/prop/direct/P1376', 2, 'http://www.wikidata.org/prop/direct/P1376', 2, 'http://www.wikidata.org/prop/direct/P36', 2, 'http://www.wikidata.org/prop/direct/P131', 1, 'http://www.wikidata.org/prop/direct/P1889', 2
'7K89AUPJ', '0', '4', 'http://www.wikidata.org/prop/direct/P17'
'7K89AUPJ', '0', '5', 'http://www.wikidata.org/prop/direct/P131'
'7K89AUPJ', '0', '6', 'http://www.wikidata.org/prop/direct/P1376', 2, 'http://www.wikidata.org/prop/direct/P1376', 2, 'http://www.wikidata.org/prop/P2046', 2, 'http://www.wikidata.org/prop/direct/P131', 1
'XET0VQLX', '0', '1', 'http://www.wikidata.org/prop/P2046', 4, 'http://www.wikidata.org/prop/direct/P1889', 1, 'http://www.wikidata.org/prop/direct/P131', 1, 'http://www.wikidata.org/prop/direct/P361', 1, 'http://www.wikidata.org/prop/direct/P460', 1, 'http://www.wikidata.org/prop/direct/P1376', 1, 'http://www.wikidata.org/prop/P2046', 4
'XET0VQLX', '0', '2', 'http://www.wikidata.org/prop/direct/P131', 4, 'http://www.wikidata.org/prop/direct/P1376', 2, 'http://www.wikidata.org/prop/direct/P131', 4
'XET0VQLX', '0', '3', 'http://www.wikidata.org/prop/direct/P190'
'XET0VQLX', '0', '4', 'http://www.wikidata.org/prop/P1082'
'Y91QTGQO', '0', '1', 'http://www.wikidata.org/prop/P2046', 10, 'http://www.wikidata.org/prop/direct/P1376', 3, 'http://www.wikidata.org/prop/P2046', 10, 'http://www.wikidata.org/prop/direct/P131', 6, 'http://www.wikidata.org/prop/direct/P361', 4, 'http://www.wikidata.org/prop/direct/P1889', 3
'Y91QTGQO', '0', '2', 'http://www.wikidata.org/prop/direct/P131', 10, 'http://www.wikidata.org/prop/direct/P1376', 1, 'http://www.wikidata.org/prop/direct/P131', 10
'Y91QTGQO', '0', '3', 'http://www.wikidata.org/prop/direct/P190'
'Y91QTGQO', '0', '4', 'http://www.wikidata.org/prop/P1082'
'QOR0SGDQ', '0', '1', 'http://www.wikidata.org/prop/P2046', 6, 'http://www.wikidata.org/prop/direct/P1889', 3, 'http://www.wikidata.org/prop/direct/P131', 3, 'http://www.wikidata.org/prop/direct/P361', 2, 'http://www.wikidata.org/prop/direct/P460', 1, 'http://www.wikidata.org/prop/direct/P1376', 1, 'http://www.wikidata.org/prop/P2046', 6
'QOR0SGDQ', '0', '2', 'http://www.wikidata.org/prop/direct/P131', 3, 'http://www.wikidata.org/prop/direct/P1376', 1, 'http://www.wikidata.org/prop/direct/P131', 3
'QOR0SGDQ', '0', '3', 'http://www.wikidata.org/prop/direct/P190'
'QOR0SGDQ', '0', '4', 'http://www.wikidata.org/prop/P1082'
'X0P09RK7', '0', '1', 'http://www.wikidata.org/prop/P2046', 14, 'http://www.wikidata.org/prop/direct/P1889', 6, 'http://www.wikidata.org/prop/direct/P131', 8, 'http://www.wikidata.org/prop/direct/P361', 8, 'http://www.wikidata.org/prop/direct/P460', 3, 'http://www.wikidata.org/prop/direct/P138', 1, 'http://www.wikidata.org/prop/direct/P36', 1, 'http://www.wikidata.org/prop/P2046', 14, 'http://www.wikidata.org/prop/direct/P1376', 2
'X0P09RK7', '0', '2', 'http://www.wikidata.org/prop/direct/P131', 14, 'http://www.wikidata.org/prop/direct/P1376', 6, 'http://www.wikidata.org/prop/direct/P131', 14, 'http://www.wikidata.org/prop/direct/P150', 1
'X0P09RK7', '0', '3', 'http://www.wikidata.org/prop/direct/P190'
'X0P09RK7', '0', '4', 'http://www.wikidata.org/prop/P1082'
'ZIBXBNHZ', '0', '1', 'http://www.wikidata.org/prop/P2046', 6, 'http://www.wikidata.org/prop/direct/P36', 1, 'http://www.wikidata.org/prop/direct/P131', 1, 'http://www.wikidata.org/prop/direct/P361', 2, 'http://www.wikidata.org/prop/direct/P460', 1, 'http://www.wikidata.org/prop/direct/P138', 1, 'http://www.wikidata.org/prop/direct/P1376', 1, 'http://www.wikidata.org/prop/P2046', 6, 'http://www.wikidata.org/prop/direct/P1889', 1
